season,plateNumber,qpcrDate,well,sample,assay,role,cq,copies
summer,four,2017-11-13,D3,12h-T6,crab-hex,Unknown,29.7917503229,36.0782314912
summer,four,2017-11-13,D3,12h-T6,shanny-fam,Unknown,27.568945334,250.4723543095
summer,four,2017-11-13,D4,12h-T8,crab-hex,Unknown,,
summer,four,2017-11-13,D4,12h-T8,shanny-fam,Unknown,,
summer,four,2017-11-13,D5,,crab-hex,Standard,18.9170398644,100000
summer,four,2017-11-13,D5,,shanny-fam,Standard,19.0188530809,100000
summer,four,2017-11-13,D6,,crab-hex,Standard,25.0429595067,1000
summer,four,2017-11-13,D6,,shanny-fam,Standard,25.3444073698,1000
summer,four,2017-11-13,D7,,crab-hex,Standard,31.4905019912,10
summer,four,2017-11-13,D7,,shanny-fam,Standard,32.039062867,10
summer,four,2017-11-13,D8,,crab-hex,NTC,,
summer,four,2017-11-13,D8,,shanny-fam,NTC,,
summer,four,2017-11-13,E1,12h-T2,crab-hex,Unknown,30.7934116566,17.4604860735
summer,four,2017-11-13,E1,12h-T2,shanny-fam,Unknown,28.2624326048,154.2576484474
summer,four,2017-11-13,E2,12h-T4,crab-hex,Unknown,29.3108572554,51.117076651
summer,four,2017-11-13,E2,12h-T4,shanny-fam,Unknown,26.0957187192,701.4042986218
summer,four,2017-11-13,E3,12h-T6,crab-hex,Unknown,29.6735497748,39.3041991554
summer,four,2017-11-13,E3,12h-T6,shanny-fam,Unknown,27.8720598327,202.6502730165
summer,four,2017-11-13,E4,12h-T8,crab-hex,Unknown,,
summer,four,2017-11-13,E4,12h-T8,shanny-fam,Unknown,,
summer,four,2017-11-13,E5,,crab-hex,Standard,18.6936297539,100000
summer,four,2017-11-13,E5,,shanny-fam,Standard,19.0227165792,100000
summer,four,2017-11-13,E6,,crab-hex,Standard,24.9056667483,1000
summer,four,2017-11-13,E6,,shanny-fam,Standard,25.355014161,1000
summer,four,2017-11-13,E7,,crab-hex,Standard,32.1880947115,10
summer,four,2017-11-13,E7,,shanny-fam,Standard,32.5371334936,10
summer,four,2017-11-13,E8,,crab-hex,NTC,,
summer,four,2017-11-13,E8,,shanny-fam,NTC,,
summer,four,2017-11-13,F1,12h-T2,crab-hex,Unknown,30.9425164739,15.6724932498
summer,four,2017-11-13,F1,12h-T2,shanny-fam,Unknown,27.8712690043,202.7623214447
summer,four,2017-11-13,F2,12h-T4,crab-hex,Unknown,29.4135828193,47.4506047298
summer,four,2017-11-13,F2,12h-T4,shanny-fam,Unknown,26.1246730513,687.3518812024
summer,four,2017-11-13,F3,12h-T6,crab-hex,Unknown,30.8189471327,17.1404089625
summer,four,2017-11-13,F3,12h-T6,shanny-fam,Unknown,27.4975700962,263.2850922246
summer,four,2017-11-13,F4,12h-T8,crab-hex,Unknown,,
summer,four,2017-11-13,F4,12h-T8,shanny-fam,Unknown,,
summer,four,2017-11-13,F5,,crab-hex,Standard,18.9548370899,100000
summer,four,2017-11-13,F5,,shanny-fam,Standard,19.0099439491,100000
summer,four,2017-11-13,F6,,crab-hex,Standard,24.9573946827,1000
summer,four,2017-11-13,F6,,shanny-fam,Standard,25.3401473555,1000
summer,four,2017-11-13,F7,,crab-hex,Standard,31.106369903,10
summer,four,2017-11-13,F7,,shanny-fam,Standard,31.8145572709,10
summer,four,2017-11-13,F8,,crab-hex,NTC,,
summer,four,2017-11-13,F8,,shanny-fam,NTC,,
summer,six,2017-11-13,A1,12h-T17,crab-hex,Unknown,31.4251520772,13.8115006134
summer,six,2017-11-13,A1,12h-T17,shanny-fam,Unknown,29.61374203,94.4650845395
summer,six,2017-11-13,A2,12h-T19,crab-hex,Unknown,,
summer,six,2017-11-13,A2,12h-T19,shanny-fam,Unknown,,
summer,six,2017-11-13,A3,12h-T21,crab-hex,Unknown,33.3482354091,3.4134780595
summer,six,2017-11-13,A3,12h-T21,shanny-fam,Unknown,30.2000637662,62.5073038935
summer,six,2017-11-13,A4,12h-T23,crab-hex,Unknown,31.5453886196,12.6557181944
summer,six,2017-11-13,A4,12h-T23,shanny-fam,Unknown,29.4908495796,103.005619374
summer,six,2017-11-13,A5,,crab-hex,Standard,15.8211148226,1000000
summer,six,2017-11-13,A5,,shanny-fam,Standard,15.9095421103,1000000
summer,six,2017-11-13,A6,,crab-hex,Standard,22.5451654717,10000
summer,six,2017-11-13,A6,,shanny-fam,Standard,23.0248926345,10000
summer,six,2017-11-13,A7,,crab-hex,Standard,28.7702563013,100
summer,six,2017-11-13,A7,,shanny-fam,Standard,29.3922445418,100
summer,six,2017-11-13,A8,,crab-hex,Standard,,
summer,six,2017-11-13,A8,,shanny-fam,Standard,,
summer,six,2017-11-13,B1,12h-T17,crab-hex,Unknown,31.39885067,14.0780730345
summer,six,2017-11-13,B1,12h-T17,shanny-fam,Unknown,29.7921362541,83.3115414642
summer,six,2017-11-13,B2,12h-T19,crab-hex,Unknown,,
summer,six,2017-11-13,B2,12h-T19,shanny-fam,Unknown,,
summer,six,2017-11-13,B3,12h-T21,crab-hex,Unknown,31.1098086897,17.3693152018
summer,six,2017-11-13,B3,12h-T21,shanny-fam,Unknown,30.0058955598,71.667419121
summer,six,2017-11-13,B4,12h-T23,crab-hex,Unknown,31.3782957516,14.2899797834
summer,six,2017-11-13,B4,12h-T23,shanny-fam,Unknown,30.0265089599,70.6344654223
summer,six,2017-11-13,B5,,crab-hex,Standard,15.9507549727,1000000
summer,six,2017-11-13,B5,,shanny-fam,Standard,16.4257327002,1000000
summer,six,2017-11-13,B6,,crab-hex,Standard,22.3308707953,10000
summer,six,2017-11-13,B6,,shanny-fam,Standard,23.0682468041,10000
summer,six,2017-11-13,B7,,crab-hex,Standard,28.6908531176,100
summer,six,2017-11-13,B7,,shanny-fam,Standard,29.3035474961,100
summer,six,2017-11-13,B8,,crab-hex,Standard,,1
summer,six,2017-11-13,B8,,shanny-fam,Standard,,1
summer,six,2017-11-13,C1,12h-T17,crab-hex,Unknown,31.6743213257,11.5235868356
summer,six,2017-11-13,C1,12h-T17,shanny-fam,Unknown,30.0206621553,70.9259314493
summer,six,2017-11-13,C2,12h-T19,crab-hex,Unknown,,
summer,six,2017-11-13,C2,12h-T19,shanny-fam,Unknown,,
summer,six,2017-11-13,C3,12h-T21,crab-hex,Unknown,32.0956051194,8.4840754254
summer,six,2017-11-13,C3,12h-T21,shanny-fam,Unknown,30.2754795059,59.2738390005
summer,six,2017-11-13,C4,12h-T23,crab-hex,Unknown,31.5010265968,13.0704393828
summer,six,2017-11-13,C4,12h-T23,shanny-fam,Unknown,30.1462591058,64.921450059
summer,six,2017-11-13,C5,,crab-hex,Standard,16.0143699895,1000000
summer,six,2017-11-13,C5,,shanny-fam,Standard,16.5725795904,1000000
summer,six,2017-11-13,C6,,crab-hex,Standard,22.306358256,10000
summer,six,2017-11-13,C6,,shanny-fam,Standard,23.0804572943,10000
summer,six,2017-11-13,C7,,crab-hex,Standard,28.8954978805,100
summer,six,2017-11-13,C7,,shanny-fam,Standard,29.4135932926,100
summer,six,2017-11-13,C8,,crab-hex,Standard,34.5042613257,1
summer,six,2017-11-13,C8,,shanny-fam,Standard,35.1623896769,1
summer,six,2017-11-13,D1,12h-T18,crab-hex,Unknown,31.9685695001,9.3047519545
summer,six,2017-11-13,D1,12h-T18,shanny-fam,Unknown,29.6511469037,92.0089640173
summer,six,2017-11-13,D2,12h-T20,crab-hex,Unknown,30.1873721666,33.9594443981
summer,six,2017-11-13,D2,12h-T20,shanny-fam,Unknown,27.4409641798,436.3826547679
summer,six,2017-11-13,D3,12h-T22,crab-hex,Unknown,29.6296153494,50.9357893308
summer,six,2017-11-13,D3,12h-T22,shanny-fam,Unknown,27.3850896027,453.8977794697
summer,six,2017-11-13,D4,12h-T24,crab-hex,Unknown,29.8622976099,43.0104674892
summer,six,2017-11-13,D4,12h-T24,shanny-fam,Unknown,29.1056660747,135.1072086226
summer,six,2017-11-13,D5,,crab-hex,Standard,19.1414949414,100000
summer,six,2017-11-13,D5,,shanny-fam,Standard,19.8329045477,100000
summer,six,2017-11-13,D6,,crab-hex,Standard,25.2944626372,1000
summer,six,2017-11-13,D6,,shanny-fam,Standard,26.3209595366,1000
summer,six,2017-11-13,D7,,crab-hex,Standard,32.2526662191,10
summer,six,2017-11-13,D7,,shanny-fam,Standard,33.4550624746,10
summer,six,2017-11-13,D8,,crab-hex,NTC,,
summer,six,2017-11-13,D8,,shanny-fam,NTC,,
summer,six,2017-11-13,E1,12h-T18,crab-hex,Unknown,32.3389091529,7.1089057489
summer,six,2017-11-13,E1,12h-T18,shanny-fam,Unknown,29.748910123,85.8868980747
summer,six,2017-11-13,E2,12h-T20,crab-hex,Unknown,30.4845838215,27.3616472983
summer,six,2017-11-13,E2,12h-T20,shanny-fam,Unknown,27.5153178046,414.1185097375
summer,six,2017-11-13,E3,12h-T22,crab-hex,Unknown,29.9391570363,40.6735974365
summer,six,2017-11-13,E3,12h-T22,shanny-fam,Unknown,27.6098817766,387.4360122302
summer,six,2017-11-13,E4,12h-T24,crab-hex,Unknown,30.038771772,37.8327603353
summer,six,2017-11-13,E4,12h-T24,shanny-fam,Unknown,28.8344143863,163.5487951641
summer,six,2017-11-13,E5,,crab-hex,Standard,19.3380637993,100000
