season,plateNumber,qpcrDate,well,sample,assay,role,cq,copies
summer,two,2017-11-11,C6,,crab-hex,Standard,22.4903027035,10000
summer,two,2017-11-11,C6,,shanny-fam,Standard,22.5272669098,10000
summer,two,2017-11-11,C7,,crab-hex,Standard,28.8598147496,100
summer,two,2017-11-11,C7,,shanny-fam,Standard,28.7344525934,100
summer,two,2017-11-11,C8,,crab-hex,Standard,,1
summer,two,2017-11-11,C8,,shanny-fam,Standard,34.0831050128,1
summer,two,2017-11-11,D1,0h-T10,crab-hex,Unknown,29.0419707529,98.6450149292
summer,two,2017-11-11,D1,0h-T10,shanny-fam,Unknown,25.9954630919,701.6820997542
summer,two,2017-11-11,D2,0h-T12,crab-hex,Unknown,27.4857031206,295.1256498871
summer,two,2017-11-11,D2,0h-T12,shanny-fam,Unknown,25.0649542729,1368.6070916838
summer,two,2017-11-11,D3,0h-T14,crab-hex,Unknown,30.0426675087,48.7580007075
summer,two,2017-11-11,D3,0h-T14,shanny-fam,Unknown,26.6282225882,445.4942308063
summer,two,2017-11-11,D4,0h-T16,crab-hex,Unknown,28.3409091652,161.6110736947
summer,two,2017-11-11,D4,0h-T16,shanny-fam,Unknown,25.3510841232,1114.4529396259
summer,two,2017-11-11,D5,,crab-hex,Standard,19.1251729009,100000
summer,two,2017-11-11,D5,,shanny-fam,Standard,19.040095764,100000
summer,two,2017-11-11,D6,,crab-hex,Standard,25.2045200715,1000
summer,two,2017-11-11,D6,,shanny-fam,Standard,25.1950929423,1000
summer,two,2017-11-11,D7,,crab-hex,Standard,31.8571502857,10
summer,two,2017-11-11,D7,,shanny-fam,Standard,32.4628871356,10
summer,two,2017-11-11,D8,,crab-hex,NTC,,
summer,two,2017-11-11,D8,,shanny-fam,NTC,,
summer,two,2017-11-11,E1,0h-T10,crab-hex,Unknown,29.2563500565,84.8231671791
summer,two,2017-11-11,E1,0h-T10,shanny-fam,Unknown,26.0398559583,679.6705118562
summer,two,2017-11-11,E2,0h-T12,crab-hex,Unknown,28.1167297872,189.2469092315
summer,two,2017-11-11,E2,0h-T12,shanny-fam,Unknown,25.2736851659,1178.1354018464
